Estimators:,1NN-DTW,Arsenal,CIF-500,Catch22,DrCIF-500,Dummy,FreshPRINCE,HC2,MRHydra,QUANT,RDST,RIST,ROCKET,STC,TDE,h-inceptiontime,litetime-mv
IRDS-SFL,0.49137931034482757,0.8103448275862069,0.8103448275862069,0.7844827586206896,0.8189655172413793,0.20689655172413793,0.8103448275862069,0.8189655172413793,0.7672413793103449,0.8103448275862069,0.8706896551724138,0.8448275862068966,0.7931034482758621,0.853448275862069,0.5,0.5689655172413793,0.646551724137931
IRDS-SFR,0.8666666666666667,0.8,0.6,0.4,0.5333333333333333,0.8666666666666667,0.4,0.7333333333333333,0.6,0.5333333333333333,0.8666666666666667,0.6,0.8,0.6,0.8666666666666667,0.7333333333333333,0.5333333333333333
IRDS-STL,0.5263157894736842,0.7368421052631579,0.7631578947368421,0.7368421052631579,0.5263157894736842,0.7105263157894737,0.868421052631579,0.7368421052631579,0.6842105263157895,0.5,0.7631578947368421,0.7105263157894737,0.7368421052631579,0.7631578947368421,0.7105263157894737,0.15789473684210525,0.5526315789473685
IRDS-STR,0.18333333333333332,0.9166666666666666,0.95,0.45,0.8666666666666667,0.9166666666666666,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9,0.9166666666666666,0.9666666666666667,0.8833333333333333,0.8833333333333333,0.6833333333333333
JapaneseVowels_eq,0.9594594594594594,0.8378378378378378,0.9675675675675676,0.9486486486486486,0.972972972972973,0.08378378378378379,0.9594594594594594,0.9324324324324325,0.9783783783783784,0.9567567567567568,0.972972972972973,0.9540540540540541,0.8243243243243243,0.7891891891891892,0.7864864864864864,0.9891891891891892,0.9945945945945946
KERAAL-CTK,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,1.0,0.9285714285714286,0.9285714285714286,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.8571428571428571
KERAAL-RTK,0.6428571428571429,0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.5714285714285714,0.7857142857142857,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.8571428571428571
KINECAL-3WFV,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,1.0
KINECAL-GGFV,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,0.9230769230769231
KINECAL-QSEC,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8888888888888888,0.8888888888888888
